,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,호텔 아르테미스,Hotel Artemis,2018,미국,"액션,범죄",주연,,,646109500.0,77792.0
1,머니 몬스터,Money Monster,2016,미국,"스릴러,범죄,드라마",감독,367961600.0,47226.0,367961600.0,47226.0
2,엘리시움,Elysium,2013,미국,"SF,액션",주연-로데스역,9017994500.0,1207732.0,9017994500.0,1207732.0
3,대학살의 신,CARNAGE,2011,"프랑스,독일,폴란드,스페인","드라마,코미디",주연,147873500.0,19917.0,147873500.0,19917.0
4,비버,The Beaver,2011,미국,"코미디,드라마","감독,주연",37194500.0,5194.0,38844500.0,5512.0
5,슈거랜드,Sugarland,2008,미국,,감독,,,,
6,브레이브 원,The Brave One,2007,미국,"드라마,스릴러,범죄",주연,0.0,153400.0,1022710000.0,156630.0
7,100편의 영화와 한 편의 장례식,Hundred films and a funeral,2007,캐나다,다큐멘터리,주연,,,,
8,패닉 룸,The Panic Room,2002,미국,스릴러,주연,0.0,347631.0,248000.0,50.0
9,복사의 위험한 삶,The Dangerous Lives Of Altar Boys,2002,미국,드라마,주연,,,,
10,애나 앤드 킹,Anna And The King,1999,미국,"드라마,코미디,멜로/로맨스",주연,0.0,204138.0,315000.0,105.0
11,콘택트,Contact,1997,미국,"SF,드라마,미스터리",주연,0.0,121124.0,,
12,홈포더할리데이,Home For The Holidays,1995,미국,코미디,감독,,,,
13,넬,NELL,1994,미국,드라마,주연-넬역,0.0,145333.0,,
14,매버릭,Maverick,1994,미국,"서부극(웨스턴),어드벤처,코미디",주연,0.0,298486.0,,
15,써머스비,Sommersby,1993,미국,"드라마,멜로/로맨스",주연,0.0,145434.0,59000.0,19.0
16,꼬마천재 테이트,Little Man Tate,1991,미국,드라마,"감독,주연",0.0,1737.0,,
17,양들의 침묵,The Silence Of The Lambs,1991,미국,"스릴러,미스터리,범죄",주연-클라리스 스털링역,0.0,281133.0,,
18,뒤로가는 남과 여,Back Track,1990,미국,"드라마,미스터리,범죄",주연,0.0,23374.0,,
19,택시 드라이버,Taxi Driver,1976,미국,"드라마,스릴러",주연,0.0,103608.0,38000.0,8.0
20,리틀 걸,The Little Girl Who Lives Down The Lane,1976,"캐나다,미국,프랑스","공포(호러),미스터리,스릴러",주연-린 역역,,,,
21,벅시 말론,Bugsy Malone,1976,영국,"코미디,범죄,가족,뮤지컬",주연-탤루라역,,,,
