,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,풍운대전,GOD OF WAR,2017,중국,"액션,전쟁,사극",주연,717000.0,137.0,717000.0,137.0
1,전성수배,The Boundary,2014,중국,스릴러,주연,101000.0,42.0,101000.0,42.0
2,백발마녀전: 명월천국,The White Haired Witch Of Lunar Kingdom,2014,중국,"판타지,멜로/로맨스",주연,15699000.0,3151.0,15917000.0,3187.0
3,태극권 : 무림7대고수전,Wu Dang,2012,홍콩,액션,주연-당운룡역,532000.0,251.0,3247000.0,1521.0
4,소걸아: 취권의 창시자,蘇乞兒: True Legend,2010,중국,"액션,드라마,판타지",주연-소찬역,253000.0,69.0,308000.0,84.0
5,척화영웅,Sino Dutch War 1661,2001,홍콩,액션,주연,,,,
6,생사권속,First Power,1999,홍콩,액션,주연-아추역,0.0,80.0,,
7,바디 웨폰,Body Weapon,1999,홍콩,액션,주연,,,,
8,벽혈남천,The Blacksheep Affair,1998,홍콩,액션,주연,0.0,2823.0,,
9,비룡,Mahjong Dragon,1997,홍콩,"액션,드라마",주연,0.0,3707.0,,
10,황비홍 이상년대,Wong Fei Hung Series: The Ideal Century,1996,홍콩,액션,주연,,,,
11,서극의 칼,The Blade,1995,홍콩,액션,주연,0.0,29613.0,,
12,금옥만당,The Chinese Feast,1994,홍콩,코미디,주연,0.0,541.0,2275000.0,418.0
13,황비홍 5,Once Upon A Time In China V,1994,홍콩,"사극,액션",주연,0.0,78304.0,,
14,청사,Green Snake,1993,홍콩,드라마,주연,0.0,84261.0,,
15,황비홍4-왕자지풍,Once Upon A Time In China 4,1993,홍콩,액션,주연,0.0,82240.0,,
16,귀신랑,Spiritual Love,1987,홍콩,코미디,편집,0.0,18371.0,,
