,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,트랜스포머: 최후의 기사,TRANSFORMERS: THE LAST KNIGHT,2016,미국,"액션,어드벤처,SF",주연,21501959228.0,2614601.0,21501959228.0,2614601.0
1,로스트 인 더 선,Lost In The Sun,2015,미국,스릴러,주연,108000.0,12.0,108000.0,12.0
2,미스컨덕트,Misconduct,2015,미국,"범죄,스릴러",주연,1133511038.0,148512.0,1138175038.0,149095.0
3,유아 낫 유,You're Not You,2014,미국,드라마,주연,138505400.0,17372.0,138505400.0,17372.0
4,세이프 헤이븐,Safe Haven,2013,미국,"멜로/로맨스,드라마",주연,288919000.0,40815.0,288909000.0,40813.0
5,데스 로드,Scenic Route,2013,미국,"드라마,스릴러",주연,,,,
6,슈퍼윙스 3D,Wings,2012,러시아,"애니메이션,어드벤처,코미디",주연-에이스역(목소리),269711500.0,46124.0,269711500.0,46124.0
7,파이어 위드 파이어,Fire with Fire,2012,미국,"액션,스릴러",주연,4355000.0,2030.0,4355000.0,2030.0
8,트랜스포머 3,Transformers :The Dark Side of the Moon,2011,미국,"액션,어드벤처",주연-Lt. 코널 윌리엄 레녹스역,74841350500.0,7784807.0,74842906588.0,7785189.0
9,더 로맨틱,The Romantics,2010,미국,"멜로/로맨스,드라마",주연-톰 역,,,,
10,로마에서 생긴 일,When In Rome,2010,미국,"멜로/로맨스,코미디",주연-닉 역,26864788.0,3480.0,26475000.0,3429.0
11,커플로 살아남기,Life as We Know It,2010,미국,"드라마,코미디",주연-에릭 메서 역역,,,,
12,투리스터스,Turistas,2006,미국,"어드벤처,공포(호러)",주연,,,,
13,내 생애 최고의 데이트,Win A Date With Tad Hamilton,2004,미국,멜로/로맨스,주연,0.0,59652.0,122230500.0,18401.0
