,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,명당,,2018,한국,사극,주연,,,,
1,내부자들: 디 오리지널,Inside Men: The Original,2015,한국,"범죄,드라마",주연,16973885275.0,2083999.0,16979714975.0,2084868.0
2,내부자들,Inside Men,2015,한국,"범죄,드라마",주연-우장훈역,56598130057.0,7072021.0,56599221057.0,7072507.0
3,암살,Assassination,2015,한국,"액션,드라마",단역-김원봉역,98463132781.0,12705700.0,98467187781.0,12706663.0
4,복숭아나무,The Peachtree,2012,한국,멜로/로맨스,주연-상현역,240103112.0,33884.0,240262112.0,33902.0
5,퍼펙트 게임,Perfect Game,2011,한국,드라마,주연,11220408500.0,1507084.0,11220408500.0,1507084.0
6,불꽃처럼 나비처럼,The Sword With No Name,2009,한국,"멜로/로맨스,사극",주연-무명 역,12447633504.0,1690294.0,12302961500.0,1670652.0
7,고고 70,Go Go 70s,2008,한국,드라마,주연,3795149333.0,581468.0,3865549500.0,595199.0
8,타짜,Tazza: The High Rollers,2006,한국,드라마,주연-고니역,0.0,6847777.0,36182617500.0,5685715.0
9,도마뱀,Love Phobia,2006,한국,"멜로/로맨스,드라마",주연,0.0,397913.0,2307824200.0,364848.0
10,말아톤,Marathon,2005,한국,드라마,주연-윤초원역,0.0,5148022.0,26285057000.0,4196859.0
11,하류인생,Low Life,2004,한국,액션,주연,0.0,550000.0,1471268000.0,224856.0
12,클래식,The Classic,2003,한국,드라마,주연-준하역,,1545107.0,60120600.0,7514.0
13,H(에이치),H,2002,한국,스릴러,주연,0.0,90000.0,,
14,YMCA야구단,YMCA Baseball Team,2002,한국,"드라마,코미디",단역,,560000.0,,
15,후아유,Who Are You?,2002,한국,드라마,주연,,91788.0,,
16,와니와 준하,Wanee And Junah,2001,한국,드라마,주연,0.0,101879.0,,
17,아미지몽,,2001,한국,"판타지,멜로/로맨스,드라마",주연,,,,
18,춘향뎐(春香傳),Chunhyang,2000,한국,"드라마,사극",주연-이몽룡역,0.0,110358.0,1616000.0,551.0
