,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,데자뷰,DEJA VU,2018,한국,"미스터리,스릴러",단역,360882100.0,48287.0,360833100.0,48279.0
1,질투의 역사,,2018,한국,"멜로/로맨스,드라마",주연-선기역,,,,
2,질투의 역사,,2018,한국,"멜로/로맨스,드라마",주연-선기역,,,,
3,돌아와요 부산항애(愛),BROTHERS IN HEAVEN,2017,한국,"범죄,액션,드라마",주연-태주역,53622300.0,6954.0,53622300.0,6954.0
4,마차 타고 고래고래,Blue Busking,2016,한국,드라마,주연,74943500.0,8971.0,74943500.0,8971.0
5,멜리스,Malice,2015,한국,"공포(호러),스릴러",단역-김 사장(특별출연)역,90914800.0,11484.0,90914800.0,11484.0
6,함정,Deep Trap,2015,한국,"스릴러,범죄",주연,2090877200.0,257990.0,2090877200.0,257990.0
7,따라지: 비열한 거리 무삭제판,The Outsider: Mean Streets,2014,한국,"멜로/로맨스,드라마",주연,4000.0,1.0,4000.0,1.0
8,따라지 : 비열한 거리,The Outsider: Mean Streets,2014,한국,멜로/로맨스,주연,103000.0,11.0,103000.0,11.0
9,무적자,A Better Tomorrow,2010,"한국,홍콩,일본,태국","드라마,액션",주연-태민역,11816488677.0,1571432.0,11629780500.0,1546132.0
10,주유소 습격사건 2,Attack The Gas Station 2,2009,한국,"액션,코미디",주연-하이킥역,5466499511.0,742475.0,5379208500.0,729834.0
11,특별시 사람들,Where Are You Going?,2009,한국,드라마,주연-일남역,,,,
12,달콤한 거짓말,Lost & Found,2008,한국,"멜로/로맨스,코미디",주연-박동식역,3116983744.0,470256.0,3122965500.0,471310.0
13,마이 뉴 파트너,My New Partner,2007,한국,"액션,코미디",주연-아들 강영준역,1696902333.0,265323.0,1699031500.0,260734.0
14,열혈남아,Cruel Winter Blues,2006,한국,"드라마,범죄,액션",주연-문치국역,0.0,570059.0,2834973800.0,466107.0
15,연리지,Now And Forever,2006,한국,"멜로/로맨스,드라마",주연-민수역,0.0,136088.0,696954300.0,114641.0
16,늑대의 유혹,Romance Of Their Own,2004,한국,드라마,주연-반해원역,0.0,2189453.0,8025959500.0,1297296.0
