,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet: Wreck-It Ralph 2,2018,미국,"애니메이션,어드벤처,코미디,가족",주연,,,,
1,"나의 딸, 나의 누나",Les Cowboys,2015,프랑스,드라마,주연,13000000.0,1729.0,13000000.0,1729.0
2,테일 오브 테일즈,Tale of Tales,2015,"이탈리아,프랑스",판타지,주연,237098700.0,30249.0,237252700.0,30276.0
3,더 랍스터,The Lobster,2015,"영국,그리스,아일랜드,네덜란드,프랑스","판타지,멜로/로맨스",주연,476877300.0,57721.0,478713300.0,57983.0
4,베어스,Bears,2014,미국,다큐멘터리,주연-나레이션역(목소리),,,,
5,주먹왕 랄프,Wreck-It Ralph,2012,미국,애니메이션,주연,6590479500.0,918299.0,6595029500.0,918823.0
6,대학살의 신,CARNAGE,2011,"프랑스,독일,폴란드,스페인","드라마,코미디",주연,147873500.0,19917.0,147873500.0,19917.0
7,케빈에 대하여,We Need to Talk about Kevin,2011,"영국,미국","드라마,스릴러",주연,353533000.0,44720.0,372782000.0,47206.0
8,사이러스,Cyrus,2010,미국,"코미디,멜로/로맨스",주연-존역,,,,
9,9:나인,9(Nine),2009,미국,"애니메이션,액션,스릴러,미스터리,어드벤처,판타지,SF",주연-#5역(목소리),704611404.0,97787.0,694084000.0,96332.0
10,틴에이지 뱀파이어,Cirque Du Freak: The Vampire's Assistant,2009,미국,"액션,가족,공포(호러),판타지,스릴러",주연-라텐 크랩슬리역,,,,
11,스텝 브라더스,Step Brothers,2008,미국,코미디,주연,,,,
12,프로모션,The Promotion,2008,미국,코미디,주연,,,,
13,워크 하드: 듀이 콕스 스토리,Walk Hard : The Dewey Cox Story,2007,미국,코미디,주연,,,,
14,텔라데가 나이트 : 리키 바비의 발라드,Talladega Nights: The Ballad Of Ricky Bobby,2006,미국,"액션,코미디",주연,,,,
15,크리미널,Criminal,2004,미국,"코미디,범죄",주연,,,,
16,세틀먼트,The Settlement,1999,미국,코미디,주연,,,,
17,리노의 도박사,Sydney,1996,미국,"범죄,드라마,스릴러",주연,,,92000.0,18.0
18,돌로레스 클레이븐,Dolores Claiborne,1995,미국,"미스터리,드라마",주연,0.0,116822.0,96000.0,32.0
