,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아스널: 리로디드,Arsenal,2017,미국,"범죄,스릴러",주연,150000.0,30.0,150000.0,30.0
1,셀,Cell,2016,미국,"공포(호러),SF,스릴러",주연,45255600.0,5617.0,45255600.0,5617.0
2,러브 앤 머시,Love & Mercy,2015,미국,드라마,주연,211780800.0,26812.0,213567000.0,27291.0
3,드래곤 블레이드,Dragon Blade,2015,중국,"액션,어드벤처",주연,427722800.0,56547.0,435192800.0,57377.0
4,리클레임,Reclaim,2014,"중국,말레이시아,미국","액션,어드벤처,범죄",주연,347000.0,70.0,347000.0,70.0
5,맵 투 더 스타,Maps To The Stars,2014,"캐나다,미국,독일,프랑스","미스터리,스릴러",주연,50881800.0,6411.0,51660800.0,6525.0
6,룸13,The Bag Man,2014,미국,"범죄,액션,스릴러",주연,4503500.0,565.0,4503500.0,565.0
7,드라이브 하드,Drive Hard,2014,미국,"범죄,액션",주연-사이먼역,,,8000.0,1.0
8,어덜트 월드,Adult World,2013,미국,"드라마,코미디",주연,250000.0,50.0,250000.0,50.0
9,그랜드 피아노,Grand Piano,2013,스페인,스릴러,주연,149337000.0,20961.0,149337000.0,20961.0
10,프로즌 그라운드,Frozen Ground,2012,미국,"스릴러,범죄",주연-로버트 한센역,104668500.0,13979.0,104668500.0,13979.0
11,넘버스 스테이션,The Numbers Station,2012,미국,스릴러,주연,10894000.0,1551.0,10894000.0,1551.0
12,더 레이븐,The Raven,2012,"미국,헝가리,스페인","스릴러,미스터리",주연,1125457000.0,153581.0,1125457000.0,153581.0
13,더 팩토리,The Factory,2012,"미국,호주","범죄,스릴러",주연,,,,
14,페이퍼보이: 사형수의 편지,The Paperboy,2011,미국,스릴러,주연-힐러리 반 웨터역,22677500.0,3030.0,23653500.0,3149.0
15,상하이,Shanghai,2010,미국,"드라마,미스터리,멜로/로맨스",주연,2039939000.0,269157.0,2039939000.0,269157.0
16,핫 터브 타임 머신,Hot Tub Time Machine,2010,미국,코미디,주연-애덤 역역,,,,
17,2012,2012,2009,미국,"SF,액션,어드벤처",주연-잭슨 커티스 역,39415166660.0,5462953.0,38941723000.0,5397597.0
18,전쟁 주식회사,"War,Inc.",2008,미국,"범죄,드라마",주연,400000.0,100.0,400000.0,100.0
19,이고르와 귀여운 몬스터 이바,Igor,2008,"미국,프랑스","애니메이션,코미디,가족,판타지",주연,2490500.0,383.0,2490500.0,383.0
20,굿바이 그레이스,Grace Is Gone,2007,미국,드라마,주연-스탠리 필립스역,10048126.0,1361.0,9898000.0,1341.0
21,"화성아이, 지구아빠",Martian Child,2007,미국,"코미디,드라마",주연-데이빗역,128656500.0,19856.0,128656500.0,19856.0
22,1408,1408,2007,미국,"공포(호러),스릴러",주연,0.0,265227.0,1641210000.0,252878.0
23,클래쉬의 전설: 조 스트러머,Joe Strummer: The Future Is Unwritten,2007,"아일랜드,영국",다큐멘터리,주연,,,,
24,콘트랙트,The Contract,2006,"미국,독일","액션,스릴러,범죄",주연,,,,
25,비밀과 거짓말의 차이,Must Love Dogs,2005,미국,"코미디,멜로/로맨스",주연,,,,
26,아이스 하베스트,The Ice Harvest,2005,미국,"액션,코미디,스릴러,범죄",주연,,,,
27,아이덴티티,Identity,2003,미국,"범죄,스릴러",주연,0.0,468817.0,136705000.0,19873.0
28,맥스,Max,2002,"캐나다,독일,헝가리",드라마,주연,,,,
29,세렌디피티,Serendipity,2001,미국,드라마,주연,0.0,118662.0,,
30,사랑도 리콜이 되나요?,High Fidelity,2000,"영국,미국","코미디,멜로/로맨스",주연,,,,
31,존 말코비치 되기,Being John Malkovich,1999,미국,"코미디,드라마,판타지",주연-크레이그 슈왈츠역,0.0,44910.0,,
32,에어 콘트롤,Pushing Tin,1999,미국,"코미디,드라마",주연-닉역,0.0,28995.0,,
33,잭 불,The Jack Bull,1999,미국,서부극(웨스턴),주연,,,,
34,크레이들 윌 락,Cradle Will Rock,1999,미국,드라마,주연,,,,
35,아나스타샤,Anastasia,1997,미국,"애니메이션,어드벤처,가족,뮤지컬",주연-디미트리역(목소리),0.0,169271.0,12549000.0,5771.0
36,그로스 포인트 블랭크,Grosse Pointe Blank,1997,미국,"액션,코미디",주연,,,,
37,씨티 홀,City Hall,1996,미국,"드라마,스릴러",주연,0.0,19253.0,,
38,브로드웨이를 쏴라,Bullets Over Broadway,1994,미국,"코미디,범죄",주연,0.0,48635.0,,
39,금지된 사랑,Say Anything,1989,미국,"드라마,멜로/로맨스",주연-로이드 도블러역,,,348000.0,67.0
40,비디오테이프 대소동,Tapeheads,1988,미국,코미디,주연-이반 알렉시브역,,,,
