,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,무림축구,Soccer Killer,2017,중국,코미디,주연,43000.0,18.0,43000.0,18.0
1,백여우 전설,The Fox Lover,2013,중국,"판타지,액션",주연,1654000.0,408.0,1654000.0,408.0
2,교감,Ex,2010,홍콩,멜로/로맨스,주연-조이 역역,,,,
3,미션! 수영의 여왕,The Fantastic Water Babes,2010,홍콩,코미디,주연,,,,
4,쌍자신투,Twins Mission,2007,홍콩,액션,주연,2859000.0,1407.0,2859000.0,1407.0
5,경박한 일상,Trivial Matters,2007,홍콩,"드라마,코미디",주연,,,,
6,지옥제19층,Naraka 19,2007,홍콩,스릴러,주연,,,,
7,서조,49 Days,2006,홍콩,공포(호러),주연,,,,
8,정무가정,House Of Fury,2005,중국,"액션,코미디",주연,6000.0,1.0,6000.0,1.0
9,화도대전,The Huadu Chronicles: Blade Of The Rose,2004,중국,"액션,어드벤처,코미디",주연,3600000.0,1480.0,3600000.0,1480.0
10,공주복구기,Beyond Our Ken,2004,홍콩,드라마,주연,,,,
11,트윈 이펙트,The Twins Effect,2003,홍콩,"액션,판타지",주연,0.0,48624.0,1885000.0,920.0
12,용호삼림,Colour Of The Truth,2003,홍콩,"액션,범죄",주연,,,,
