,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,드레스메이커,The Dressmaker,2015,호주,드라마,주연,447111000.0,56275.0,447353000.0,56316.0
1,스피벳: 천재 발명가의 기묘한 여행,The Young and Prodigious T.S. Spivet,2013,프랑스,"어드벤처,가족",주연,192000.0,37.0,707000.0,95.0
2,아이 오브 더 스톰,The Eye of the Storm,2011,호주,드라마,주연,28069000.0,4101.0,28069000.0,4101.0
3,더 높은 곳을 향하여,Swimming Upstream,2003,호주,드라마,주연,,,,
4,가우디 애프터눈,Gaudi Afternoon,2001,스페인,"코미디,드라마",주연,,,,
5,신을 고소한 사나이,The Man Who Sued God,2001,호주,"코미디,드라마",주연,,,,
6,쿨 라이프,A Cooler Climate,1999,미국,드라마,주연,,,,
7,셀러브리티,Celebrity,1998,미국,코미디,주연,,,550000.0,112.0
8,쇼팽의 연인,Impromptu,1991,"영국,프랑스","코미디,멜로/로맨스",주연-조르쥬 상드/오로라역,,,,
9,인도로 가는길,A Passage To India,1984,"미국,영국","드라마,어드벤처",주연,0.0,135032.0,228000.0,76.0
10,SAS 특공대,Who Dares Wins,1982,영국,액션,주연,0.0,309594.0,,
