,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미안해 사랑해 고마워,Summer Snow,2015,한국,드라마,주연,359247800.0,51207.0,359247800.0,51207.0
1,적도,Helios,2015,홍콩,액션,주연,27026500.0,3679.0,27427500.0,3778.0
2,"연애의 발동 : 상해 여자, 부산 남자",Bad Sister,2014,"한국,중국","멜로/로맨스,코미디",주연,2162000.0,273.0,2162000.0,273.0
3,점쟁이들,Ghost Sweepers,2012,한국,"코미디,공포(호러)",스토리-원안,6731202500.0,953682.0,6731202500.0,953682.0
4,러브픽션,Love Fiction,2011,한국,"멜로/로맨스,코미디",조연-주로역,13200412500.0,1726202.0,13200551500.0,1726227.0
5,토마스와 친구들 - 극장판 3,Thomas & Friends: Misty Island Rescue,2010,영국,애니메이션,주연(목소리),130641500.0,18845.0,130697500.0,18857.0
6,집 나온 남자들,Looking For My Wife,2010,한국,"코미디,드라마",주연-역,189538028.0,26319.0,186095500.0,25773.0
7,평행이론,Parallel Life,2009,한국,"스릴러,액션,드라마,미스터리",주연,6905140883.0,937029.0,6793066000.0,921111.0
8,낙원-파라다이스,Paradise,2009,한국,"멜로/로맨스,드라마",주연-일호 역,3523191.0,472.0,3484500.0,467.0
9,수,Soo,2007,"한국,일본",액션,주연,0.0,218314.0,1208282000.0,199709.0
10,오래된 정원,The Old Garden,2006,한국,드라마,주연,0.0,296532.0,1490193500.0,285381.0
11,여교수의 은밀한 매력,Bewitching Attraction,2006,한국,코미디,주연,0.0,691735.0,3926917300.0,606398.0
12,퍼햅스 러브,Perhaps Love,2005,홍콩,뮤지컬,주연-몬티역,0.0,95594.0,534168500.0,83908.0
13,방아쇠,Time of Ghost,2004,한국,,주연,,,,
14,여섯 개의 시선,If You Were Me,2003,한국,드라마,주연,,31171.0,322000.0,57.0
15,얼굴값,Face Value,2003,한국,드라마,주연,,,,
16,H(에이치),H,2002,한국,스릴러,주연,0.0,90000.0,,
