,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,비뚤어진 집,Crooked House,2017,영국,"범죄,드라마,미스터리",주연,,,,
1,로봇 오버로드,Robot Overlords,2014,영국,"SF,액션",주연-케이트역,988000.0,189.0,988000.0,189.0
2,과거를 찾아서,I'll Follow You Down,2013,캐나다,"미스터리,SF",주연-마리카 역역,,,66000.0,22.0
3,시스터,Sister,2012,"프랑스,스위스",드라마,주연,90192000.0,12107.0,92132000.0,12366.0
4,쟈니 잉글리쉬2 : 네버다이,Johnny English Reborn,2011,미국,코미디,주연,269751500.0,37823.0,269751500.0,37823.0
5,부기우기: 상위 1%의 섹스,Boogie Woogie,2009,영국,"코미디,드라마",주연,6064000.0,1514.0,6064000.0,1514.0
6,스트레이트헤드,Straightheads,2007,영국,스릴러,주연,,,,
7,마이티 셀트,The Mighty Celt,2005,아일랜드,드라마,주연,,,,
8,엑스파일: 프로비던스,X-Files: Providence,2002,미국,"미스터리,SF",주연,,,,
9,엑스파일: 데드어라이브,X-Files: Deadalive,2001,미국,"미스터리,SF",주연,,,,
10,엑스파일: 하이브리드,X-Files: Existence,2001,미국,"미스터리,SF",주연,,,,
11,환희의 집,The House Of Mirth,2000,"영국,미국,프랑스,독일",멜로/로맨스,주연,,,340000.0,68.0
12,엑스파일,The X Files,1998,"미국,캐나다","SF,공포(호러),드라마,스릴러",주연,0.0,239832.0,,
13,플레잉 바이 하트,Playing by Heart,1998,"영국,미국","코미디,멜로/로맨스",주연,,,,
