,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,캠핑,Camping,2015,한국,스릴러,주연-선영역,5000.0,1.0,5000.0,1.0
1,젊은엄마 : 내 나이가 어때서,,2015,한국,드라마,주연-이진희역,4515000.0,916.0,4515000.0,916.0
2,숙희,Sookhee,2013,한국,드라마,주연-숙희역,6246000.0,1001.0,6246000.0,1001.0
3,슈퍼맨 강보상,Superman KangBoSang,2013,한국,코미디,주연-백홍주역,,,,
4,채식주의자,Vegetarian,2009,한국,드라마,주연-영혜역,25547105.0,3434.0,26459000.0,3536.0
5,달콤한 거짓말,Lost & Found,2008,한국,"멜로/로맨스,코미디",단역-어린 지호 목소리 역(목소리),3116983744.0,470256.0,3122965500.0,471310.0
6,외톨이,The Loner,2008,한국,"공포(호러),스릴러",주연-최윤미역,474493500.0,74282.0,476386500.0,74615.0
7,망국의 이지스,Aegis,2005,일본,"액션,스릴러",조연-준희역,,,,
8,가발,The wig,2005,한국,공포(호러),주연-수현/희주역,0.0,545591.0,2816190000.0,448161.0
9,돈 텔 파파,Raising My Dad,2003,한국,코미디,주연-이애란역,0.0,880744.0,3481025000.0,558745.0
10,챔피언,Champion,2002,한국,드라마,주연-이경미역,,557546.0,,
