,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,소공녀(가제),,2018.0,한국,,주연,,,,
1,흥부: 글로 세상을 바꾼 자,Heung-boo: The Revolutionist,2017.0,한국,사극,단역,3381302200.0,416346.0,3381050200.0,416303.0
2,어느날,Oneday,2017.0,한국,멜로/로맨스,주연-미소역,1845841582.0,234681.0,1846581582.0,234829.0
3,걸스 온 탑,Girls On Top,2017.0,한국,드라마,주연,,,,
4,니 부모 얼굴이 보고 싶다,,2017.0,한국,드라마,주연,,,,
5,우상,,2017.0,한국,스릴러,주연,,,,
6,곡성,THE WAILING,2016.0,한국,"미스터리,스릴러,드라마",주연-무명역,55863520382.0,6879908.0,55864308382.0,6879989.0
7,"9월 수요단편극장 ""여배우의 힘 - 이상희, 김새벽, 천우희""",,2016.0,한국,기타,주연-고진아 역역,,,262000.0,34.0
8,해어화,"LOVE, LIES",2015.0,한국,"사극,드라마",주연,3768200759.0,485695.0,3768200759.0,485695.0
9,뷰티 인사이드,The Beauty Inside,2015.0,한국,"판타지,멜로/로맨스",주연-우진64역,16155795131.0,2054297.0,16184831031.0,2057896.0
10,손님,The Piper,2014.0,한국,"판타지,공포(호러)",주연,6385937880.0,828025.0,6385937880.0,828025.0
11,출중한 여자,,2014.0,한국,멜로/로맨스,주연,,,98000.0,14.0
12,한공주,HAN Gong-ju,2013.0,한국,드라마,주연-한공주역,1784536300.0,224978.0,1790631300.0,225839.0
13,26년,26 Years,2012.0,한국,"액션,드라마",단역-적혁누이(특별출연)역,21241327145.0,2963449.0,21242367145.0,2963652.0
14,코리아,As One,2011.0,한국,드라마,조연-정화동생역,13448848500.0,1872681.0,13448857500.0,1872682.0
15,써니,Sunny,2011.0,한국,"드라마,코미디",조연-상미 역,54034235100.0,7362467.0,54038534700.0,7363139.0
16,뻑킹 세븐틴,My Sweet Fucking Sixteen,2011.0,한국,"드라마,멜로/로맨스,기타",주연-고진아역,,,,
17,이파네마 소년,The Boy From Ipanema,2010.0,한국,"멜로/로맨스,드라마",조연,25432810.0,3465.0,25178500.0,3436.0
18,사이에서,In Between,2009.0,한국,드라마,주연,3184500.0,582.0,3184500.0,582.0
19,마더,Mother,2009.0,한국,드라마,"조연-진태 여자친구, 미나 역",20195373838.0,3013523.0,19971510600.0,2979805.0
20,생수,,,한국,코미디,주연,,,,
