,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,이쁜 여관 주인 아줌마,Prey of landlady,2016,일본,"드라마,성인물(에로)",주연-유우역,6000,1,6000,1
1,요리학원에서 스와핑,Of ex-girlfriend revenge,2016,일본,드라마,주연-유우역,18000,3,18000,3
2,젊은 며느리: 시아버지의 유혹에 빠지다(무삭제),Apartment Wives,2015,일본,멜로/로맨스,감독,5000,1,5000,1
3,젊은 며느리: 시아버지의 유혹에 빠지다,Apartment Wives,2015,일본,멜로/로맨스,감독,5000,1,5000,1
4,음란부인의 쾌락,Shadow Beast Wife~a wife who is chaste and immoral~,2015,일본,성인물(에로),주연,8000,1,8000,1
5,아찔한 욕정녀들,Crime and Punishment the second volume,2015,일본,성인물(에로),주연,8000,1,8000,1
6,절세부인의 사랑,Crime and Punishment the first volume,2015,일본,성인물(에로),주연,8000,1,8000,1
7,남편 몰래 외도하기,Aching virtuous company house wife,2012,일본,성인물(에로),주연,270000,54,270000,54
8,화려한 오후: 그녀의 새파트너,Housing complex wives who are not met,2012,일본,성인물(에로),주연,270000,54,270000,54
9,그녀의 팬티스타킹,FETISH,2012,일본,성인물(에로),주연,30000,10,30000,10
10,수영복 불륜정사,Pictured Stepsister,2011,일본,성인물(에로),주연,36000,2,36000,2
11,변태욕구,Hentaiganbou,2010,일본,"멜로/로맨스,드라마",주연,5000,1,5000,1
