,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,위풍당당 질리 홉킨스,The Great Gilly Hopkins,2016,미국,"코미디,가족,드라마",주연,14192500.0,2153.0,14208500.0,2157.0
1,컴플리트 언노운,Complete Unknown,2016,미국,"드라마,미스터리,스릴러",조연-니나 역역,,,,
2,리틀 빗 오브 헤븐,A Little Bit Of Heaven,2013,미국,"코미디,멜로/로맨스,드라마",주연,,,,
3,발렌타인 데이,Valentine'S Day,2009,미국,"멜로/로맨스,코미디",주연,1337699931.0,172997.0,1314085500.0,169529.0
4,뷰티풀 프렌즈,Bonneville,2006,미국,"드라마,코미디",주연,576000.0,52.0,576000.0,52.0
5,렐러티브 스트레인저스,Relative Strangers,2006,"미국,독일",코미디,주연,,,,
6,산 루이스 레이의 다리,The Bridge of San Luis Rey,2004,"스페인,영국,프랑스","드라마,멜로/로맨스",주연,,,,
7,어바웃 슈미트,About Schmidt,2002,미국,"드라마,코미디",주연,0.0,176948.0,,
8,러브 리자,Love Liza,2002,"미국,프랑스,독일",드라마,주연,,,,
9,조건 없는 사랑,Unconditional Love,2002,미국,"드라마,코미디,뮤지컬",주연,,,,
10,워터보이,The Waterboy,1998,미국,코미디,조연,0.0,9974.0,,
11,디아볼릭,Diabolique,1995,미국,"드라마,공포(호러),스릴러,미스터리",주연-셜리 보겔역,0.0,188328.0,,
12,돌로레스 클레이븐,Dolores Claiborne,1995,미국,"미스터리,드라마",주연,0.0,116822.0,96000.0,32.0
13,꿈이 지나간 자리,Curse Of The Starving Class,1994,미국,드라마,주연,0.0,1085.0,,
14,우리들만의 집,A Home Of Our Own,1993,미국,"드라마,가족",주연,,,,
15,후라이드 그린 토마토,Fried Green Tomatoes At The Whistle Stop Cafe,1991,미국,"드라마,코미디",주연-에블린 코치역,0.0,111972.0,927000.0,206.0
16,미저리,Misery,1990,미국,"스릴러,공포(호러),드라마",주연-애니 윌키스역,0.0,99753.0,300000.0,100.0
17,미궁의 살인 사건,Murder Ordained,1987,미국,범죄,주연-바비 버크 역역,,,,
