,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,분노의 질주: 더 익스트림,Fast and Furious 8,2017,"미국,일본,프랑스,캐나다","액션,범죄,스릴러",주연,29981156348.0,3653238.0,29981156348.0,3653238.0
1,딥워터 호라이즌,Deepwater Horizon,2016,미국,"액션,드라마",주연,775611543.0,100021.0,784555543.0,101303.0
2,헤이트풀8,The Hateful Eight,2015,미국,"액션,스릴러,서부극(웨스턴)",주연,1004048400.0,121278.0,1004847900.0,121400.0
3,본 토마호크,Bone Tomahawk,2015,미국,"공포(호러),서부극(웨스턴)",주연,,,,
4,아트 오브 더 스틸,The Art of the Steal,2013,캐나다,코미디,주연-크런치 칼훈 역역,,,,
5,장고:분노의 추적자,Django Unchained,2012,미국,"서부극(웨스턴),드라마",주연,1883634000.0,260144.0,1885583000.0,260405.0
6,데쓰 프루프,Death Proof,2007,미국,"액션,스릴러",주연-스턴트맨 마이크역,0.0,91066.0,600915000.0,88693.0
7,그라인드 하우스,Package Screening,2007,미국,"공포(호러),액션",주연,,,160000.0,40.0
8,포세이돈,Poseidon,2006,미국,"액션,드라마,스릴러",주연-로버트 램지역,0.0,2214600.0,14588094300.0,2316695.0
9,드리머,Dreamer: Inspired By A True Story,2005,미국,드라마,주연-벤 크레인역,0.0,305993.0,1706200100.0,276760.0
10,스카이 하이,Sky High,2005,미국,"액션,가족,코미디,어드벤처",주연,,,,
11,미라클,Miracle,2004,미국,"드라마,가족",주연,,,,
12,다크 블루,Dark Blue,2002,미국,"드라마,액션,스릴러,범죄",주연,,,,
13,3000마일,3000miles to graceland,2001,미국,"스릴러,액션",주연,0.0,76168.0,,
14,솔져,Soldier,1998,미국,"SF,액션",주연,0.0,36807.0,,
15,브레이크다운,Breakdown,1997,미국,"액션,스릴러",주연,0.0,49928.0,,
16,L.A 2013,Escape From L.A.,1996,미국,"SF,액션,범죄,미스터리",주연,0.0,42377.0,,
17,화이널 디씨전,Executive Decision,1996,미국,"액션,범죄,어드벤처",주연,0.0,132074.0,196000.0,98.0
18,무단침입,Unlawful Entry,1993,미국,"범죄,스릴러",주연,0.0,34990.0,,
19,분노의 역류,BACKDRAFT,1991,미국,"드라마,액션,미스터리,스릴러",주연,0.0,162102.0,54000.0,18.0
20,윈터피플,Winter People,1988,미국,멜로/로맨스,주연,0.0,3750.0,,
21,불타는 태양,Tequila Sunrise,1988,미국,"액션,멜로/로맨스,스릴러",주연,,,184000.0,92.0
22,괴물,The Thing,1982,미국,"공포(호러),스릴러,액션,SF",주연-R.J. 맥레디 역,,,1441000.0,256.0
23,뉴욕 탈출,Escape from New York,1981,"영국,미국","액션,어드벤처,SF,스릴러",주연,,,1283268.0,196.0
24,고물차 소동,Used Cars,1980,미국,코미디,주연,,,,
