,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미씨카: 더 네크로맨서,mythica 3 : necromancer,2015,미국,"판타지,범죄,액션",주연,300000.0,60.0,300000.0,60.0
1,블랙 라이더,The Black Rider: Revelation Road,2014,미국,"액션,드라마,판타지",주연,4000.0,1.0,4000.0,1.0
2,신은 죽지 않았다,GOD'S NOT DEAD,2014,미국,드라마,주연,281738000.0,38149.0,283913000.0,38379.0
3,우주전쟁: 지구 최후의 날,Survivor,2014,미국,"액션,SF",주연,670000.0,244.0,670000.0,244.0
4,줄리아 엑스,Julia X,2011,미국,"공포(호러),스릴러",주연-낯선 남자역,827000.0,296.0,827000.0,296.0
5,플래쉬운즈,FLESH WOUNDS,2011,미국,SF,주연-테일러역,100000.0,20.0,100000.0,20.0
6,스워드 2,Tales of an Ancient Empire,2010,미국,"액션,어드벤처",주연-애단 역역,,,,
7,워킹 톨 2 : 페이백,Walking Tall 2,2007,미국,액션,주연,,,,
8,워킹 톨 3,Walking Tall : Lone Justice,2007,미국,"액션,범죄,드라마",주연,,,,
9,헤라클레스와 제나,Hercules And Xena : The Animated Movie : The Battle For Mount Olympus,1998,미국,애니메이션,주연(목소리),,,,
10,헤레클레스,Hercules and the Amazon Women,1994,"미국,뉴질랜드","판타지,액션,어드벤처",주연,,,,
