,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,썸니아,Before I Wake,2015,미국,"판타지,공포(호러)",주연,92785045.0,11662.0,93045045.0,11708.0
1,버스 657,Heist,2015,미국,"액션,스릴러",주연,143676000.0,18042.0,143676000.0,18042.0
2,스틸 앨리스,Still Alice,2014,미국,드라마,주연,869953546.0,112711.0,871674546.0,112977.0
3,언컨셔스,Unconscious,2014,미국,"공포(호러),스릴러",주연,,,,
4,우리 사랑하는 동안,While We Were Here,2012,미국,드라마,주연,2603000.0,405.0,2603000.0,405.0
5,워리어스 웨이,Warrior's Way,2010,미국,"액션,판타지",주연-린역,3134328730.0,437101.0,3097461500.0,432072.0
6,21,21,2008,미국,"범죄,드라마",주연,730776100.0,108648.0,731977600.0,108825.0
7,걸 인 더 파크,The Girl in the Park,2007,미국,드라마,주연,,,,
8,비욘드 더 씨,Beyond The Sea,2004,"미국,영국,독일","드라마,뮤지컬",주연-산드라 디역,0.0,2040.0,13164700.0,2299.0
9,내 생애 최고의 데이트,Win A Date With Tad Hamilton,2004,미국,멜로/로맨스,주연,0.0,59652.0,122230500.0,18401.0
10,원더랜드,Wonderland,2003,"미국,캐나다","범죄,드라마,미스터리",주연,,,,
11,블루 크러쉬,Blue Crush,2002,"미국,독일","멜로/로맨스,드라마",주연,,,,
