,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,퍼스널 쇼퍼,Personal Shopper,2016,프랑스,"드라마,스릴러",주연,114418100.0,14182.0,117925100.0,14617.0
1,카페 소사이어티,Cafe Society,2016,미국,"멜로/로맨스,드라마",주연,1047223666.0,126439.0,1048530166.0,126621.0
2,이퀄스,Equals,2015,미국,"드라마,SF",주연,519932300.0,68897.0,519972300.0,68902.0
3,월터 교수의 마지막 강의,Anesthesia,2015,미국,드라마,주연,19747000.0,2791.0,19763000.0,2793.0
4,아메리칸 울트라,American Ultra,2015,미국,"액션,코미디",주연-피비역,1301387295.0,161382.0,1301387295.0,161382.0
5,스틸 앨리스,Still Alice,2014,미국,드라마,주연,869953546.0,112711.0,871674546.0,112977.0
6,클라우즈 오브 실스마리아,Clouds of Sils Maria,2014,"프랑스,스위스,독일",드라마,주연,263302599.0,33009.0,264488599.0,33168.0
7,캠프 엑스레이,Camp X-Ray,2014,미국,드라마,주연,,,,
8,온 더 로드,On the Road,2012,"미국,프랑스,영국","어드벤처,드라마",주연,20155500.0,2622.0,20155500.0,2622.0
9,브레이킹 던 part2,The Twilight Saga: Breaking Dawn Part 2,2012,미국,"드라마,판타지,멜로/로맨스",주연,18909583065.0,2654817.0,18909583065.0,2654817.0
10,스노우 화이트 앤 더 헌츠맨,Snow White And The Huntsman,2012,미국,"액션,어드벤처,판타지",주연-스노우 화이트 역,4646250000.0,636631.0,4646250000.0,636631.0
11,브레이킹 던 part1,The Twilight Saga: Breaking Dawn - Part 1,2011,미국,"드라마,판타지,멜로/로맨스",주연,10713863000.0,1462280.0,10715439000.0,1462561.0
12,웰컴 투 마이 하트,Welcome To The Rileys,2010,"영국,미국",드라마,주연-맬로리 역,47841500.0,6258.0,49507500.0,6589.0
13,이클립스,The Twilight Saga: Eclipse,2010,미국,"판타지,멜로/로맨스,스릴러",주연-벨라 스완역,15192541723.0,2105050.0,14947417000.0,2069546.0
14,런어웨이즈,The Runaways,2010,미국,드라마,주연,111779483.0,15088.0,110139500.0,14863.0
15,뉴 문,The Twilight Saga: New Moon,2009,미국,"판타지,드라마,멜로/로맨스",주연-벨라 스완역,13988362067.0,1949027.0,13868814000.0,1933467.0
16,어드벤처랜드,Adventureland,2009,미국,"코미디,멜로/로맨스",주연,,,,
17,사랑을 위한 여행,The Yellow Handkerchief,2008,미국,"멜로/로맨스,드라마",주연,4050000.0,810.0,4050000.0,810.0
18,트와일라잇,Twilight,2008,미국,"액션,멜로/로맨스,판타지,공포(호러)",주연,8796916521.0,1356180.0,8826674000.0,1361273.0
19,참을 수 없는 사랑,The Cake Eaters,2007,미국,"드라마,멜로/로맨스",주연,804000.0,159.0,804000.0,159.0
20,메신져 - 죽은자들의 경고,The Messengers,2007,미국,공포(호러),주연,0.0,266487.0,1576803000.0,245955.0
21,인 더 랜드 오브 우먼,In the Land of Women,2007,미국,"코미디,드라마,멜로/로맨스",주연,,,,
22,피어스 피플,Fierce People,2005,"미국,캐나다",드라마,주연,,,,
23,캐치 댓 머니,Catch That Kid,2004,"미국,독일","코미디,범죄",주연,,,,
24,언더토우,Undertow,2003,미국,"드라마,스릴러",주연,,,,
