,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,브레인 온 파이어,Brain on fire,2017,영국,드라마,주연,12036000.0,1564.0,12036000.0,1564.0
1,제 5침공,THE 5th WAVE,2015,미국,"액션,어드벤처,SF",주연,1041049900.0,135874.0,1041049900.0,135874.0
2,다크 플레이스,Dark Places,2015,"미국,영국,프랑스","드라마,미스터리,스릴러",주연,530282654.0,66075.0,530596654.0,66127.0
3,더 이퀄라이저,The Equalizer,2014,미국,"액션,범죄,스릴러",주연,639464500.0,82779.0,639464500.0,82779.0
4,클라우즈 오브 실스마리아,Clouds of Sils Maria,2014,"프랑스,스위스,독일",드라마,주연,263302599.0,33009.0,264488599.0,33168.0
5,래기스,Laggies,2014,미국,"코미디,멜로/로맨스",주연,,,,
6,이프 아이 스테이,If I Stay,2014,미국,드라마,주연-미아 역역,,,,
7,킥 애스 2 : 겁없는 녀석들,Kick-Ass 2,2013,미국,"액션,코미디,범죄",주연,92028000.0,12827.0,92028000.0,12827.0
8,캐리,Carrie,2013,미국,"공포(호러),드라마",주연-캐리 화이트 역역,,,,
9,런어웨이 걸,Hick,2011,미국,"코미디,드라마",주연,4758000.0,1010.0,4758000.0,1010.0
10,휴고,HUGO,2011,미국,가족,주연-이자벨 역,637621000.0,60520.0,637946000.0,60561.0
11,텍사스 킬링 필드,Texas Killing Fields,2011,미국,스릴러,주연,,,,
12,렛 미 인,Let Me In,2010,"영국,미국","드라마,판타지,공포(호러),미스터리",주연-애비역,1158654342.0,169072.0,1141186000.0,166503.0
13,킥 애스: 영웅의 탄생,Kick-Ass,2010,"영국,미국","액션,어드벤처,코미디",주연-민디/힛 걸역,1167536970.0,153849.0,1148869500.0,151159.0
14,500일의 썸머,500Days Of Summer,2009,미국,"드라마,멜로/로맨스",조연-레이첼 핸슨역,1064051540.0,140458.0,2277004000.0,286828.0
15,위키드 리틀 씽스,Wicked Little Things,2006,미국,"드라마,공포(호러)",주연,,,,
