,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,친절한 가정부,THE MAIDROID,2014,한국,코미디,주연,1004000.0,166.0,1004000.0,166.0
1,사쿠라-마지막 정사,SAKURA–Pachislo Battler,2013,일본,멜로/로맨스,주연,20000.0,10.0,20000.0,10.0
2,요리사와의 불륜,Knife Battle -Female Cook SAKURA,2012,일본,"멜로/로맨스,드라마",주연,40000.0,10.0,40000.0,10.0
3,겟코가면,Mask The Kekkou,2012,일본,액션,주연,150000.0,10.0,150000.0,10.0
4,갱로이어,Gang Lawyer,2012,일본,성인물(에로),주연,30000.0,10.0,30000.0,10.0
5,내 여친이 야한 이유,MY SWEET N SEXY GIRL FRIEND,2012,일본,성인물(에로),주연,56000.0,10.0,56000.0,10.0
6,이복자매-언니애인과의 황홀한 정사,Domestic Final,2010,일본,"멜로/로맨스,드라마",주연,100000.0,10.0,100000.0,10.0
7,러버즈 고무옷의 그녀,Rubbers,2010,일본,"성인물(에로),드라마",주연,42000.0,8.0,42000.0,8.0
8,꿈속의 성애,Incubus,2010,일본,공포(호러),주연,,,,
9,나락,DESIRE UNDERNEATH,2008,일본,범죄,주연,500000.0,100.0,500000.0,100.0
10,나의 달콤한 첫경험 이야기,Virgin Dreeeem,2008,일본,"성인물(에로),드라마",주연,4000.0,2.0,4000.0,2.0
