,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,레온,Reon,2018.0,일본,코미디,주연,,,,
1,야마가타 스크림,Yamagata Scream,2009.0,일본,"코미디,공포(호러)","감독,주연",,,,
2,신주쿠 사건,The Shinjuku Incident,2008.0,홍콩,"액션,드라마,범죄",주연,289750076.0,43881.0,287329000.0,43516.0
3,도쿄!,Tokyo!,2008.0,"일본,한국,프랑스",드라마,주연,275955904.0,41198.0,278440500.0,41572.0
4,스트레인저: 무황인담,Sword Of The Stranger,2007.0,일본,"애니메이션,액션,어드벤처",주연-쇼안 스님역(목소리),7440669.0,1147.0,8543000.0,1275.0
5,이노센스,Ghost In The Shell 2: Innocence,2004.0,일본,"애니메이션,SF",주연,0.0,31249.0,172043500.0,26116.0
6,괴담신이대 극장판,Tales Of Terror,2004.0,일본,공포(호러),주연,,,,
7,사요나라 컬러,Sayonara Color,2004.0,일본,멜로/로맨스,"감독,주연",,,,
8,완전한 사육 5: 미용사의 사랑,The Perfect Education 5 : Amazing Story,2004.0,일본,"스릴러,범죄",주연,,,,
9,완전한 사육 4: 비밀의 지하실,Perfect Education 4: Secret Basement,2003.0,일본,"드라마,범죄,스릴러",주연,8000.0,2.0,8000.0,2.0
10,소녀 검객 아즈미 대혈전,Azumi,2003.0,일본,액션,주연,0.0,709.0,3433500.0,549.0
11,완전한 사육 2 - 사랑의 40일,Perfect Education 2,2001.0,일본,범죄,주연,0.0,161.0,9000.0,2.0
12,워터 보이즈,Waterboys,2001.0,일본,코미디,주연,0.0,35521.0,999000.0,182.0
13,연탄,Quartet For Two,2001.0,일본,드라마,"감독,주연",,,,
14,매미 축제의 섬,,2000.0,일본,드라마,주연,,,,
15,삼류 배우,By Player,2000.0,일본,드라마,주연-토노야마 타이지역,,,0.0,0.0
16,신주쿠 여고생 납치사건(완전한 사육),The Perfect Education,1999.0,일본,드라마,주연,0.0,452.0,3176000.0,454.0
17,도쿄 맑음,Dtokyo Biyori,1997.0,일본,드라마,"감독,주연",0.0,10394.0,,
18,으랏차차 스모부,Sumo Do Sumo Don'T,1992.0,일본,"코미디,드라마",주연-토미오 아오키역,0.0,56351.0,,
19,누드의밤,night in nude,,,,주연,,,,
