,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,직쏘,Jigsaw,2017,미국,"공포(호러),스릴러,범죄",주연-직쏘역,972332500.0,111506.0,977950500.0,112237.0
1,쏘우 3D,Saw 3D,2010,"미국,캐나다",공포(호러),주연-직쏘 / 존역,1470144870.0,115878.0,1447063000.0,114034.0
2,쏘우-여섯번의 기회,Saw Ⅵ,2009,미국,"공포(호러),미스터리,범죄",주연,161215143.0,20116.0,158684000.0,19796.0
3,쏘우 V,Saw V,2008,"미국,캐나다","범죄,공포(호러),스릴러",주연-직쏘/ 존 크레이머역,1044040000.0,150835.0,1044027000.0,150832.0
4,쏘우 4,Saw Ⅳ,2007,미국,"공포(호러),스릴러",주연,0.0,273959.0,1832431500.0,271393.0
5,부기맨 2,Boogeyman 2,2007,미국,"공포(호러),스릴러",주연,,,,
6,쏘우 3,Saw Ⅲ,2006,미국,"공포(호러),스릴러",주연-직쏘/존역,0.0,432876.0,2406433500.0,386547.0
7,쏘우 2,Saw Ⅱ,2005,미국,"공포(호러),스릴러",주연-직쏘 / 존역,0.0,426650.0,2476201400.0,388105.0
8,흑협 2,Black Mask 2 : City Of Masks,2002,홍콩,"액션,드라마,SF",주연,1610000.0,650.0,1610000.0,650.0
9,베스트 오브 더 베스트 4 : 파이널 러쉬,Best of the Best : Without Warning,1998,미국,"액션,스릴러",주연,,,,
