,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,팜스윙스 스와핑클럽,PALM SWINGS,2017,미국,"코미디,멜로/로맨스,드라마",주연,300000.0,60.0,300000.0,60.0
1,코어 임팩트: 행성 충돌,Asteroid vs Earth,2014,미국,"액션,SF",주연,4000.0,1.0,4000.0,1.0
2,파이널 리코스,Final Recourse,2013,미국,스릴러,주연-미셸 역역,,,,
3,논스톱 액시던트,COLLISION COURSE,2012,미국,"액션,드라마,어드벤처",주연,40000.0,10.0,40000.0,10.0
4,슈퍼노바,Supernova,2005,미국,"액션,어드벤처,드라마",주연,,,,
5,스티치 무비,Stitch! The Movie,2003,미국,"애니메이션,코미디,가족",주연(목소리),,,,
6,호스맨,The Night of the Headless Horseman,1999,미국,애니메이션,주연,,,,
7,스카 시티,Scarred City,1998,미국,"스릴러,액션",주연,0.0,585.0,,
8,굿모닝 스쿨,High School High,1997,미국,코미디,주연,0.0,34.0,,
9,갈색 유혹,Treacherous,1994,미국,스릴러,주연,,,,
10,스트립퍼 배심원,Jury Duty,1994,미국,코미디,주연-모니카 역역,,,,
11,웨인즈 월드,Waynes World,1992,미국,코미디,주연,0.0,7582.0,,
