,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,스페셜 스쿼드,Hot Dog,2018,독일,"액션,코미디",주연,,,47000.0,29.0
1,미션 이스탄불,Nick: Off Duty,2016,독일,액션,주연,8239500.0,1082.0,8239500.0,1082.0
2,뱅크 어택: 은행습격사건,Four Against The Bank,2016,독일,"코미디,범죄,액션",주연,,,,
3,미션 이스탄불3: 더 리벤지,Kopfgeld,2014,독일,"범죄,액션",주연,,,2000.0,1.0
4,가디언스,Guardians,2012,독일,"액션,범죄","감독,주연",250000.0,50.0,250000.0,50.0
5,러브 액츄얼리 인 베를린,Men in the City,2009,독일,코미디,주연-제롬 아데스 역역,,,,
6,환상통,Phantom Pain,2009,독일,드라마,주연,,,159000.0,149.0
7,레드 바론,The Red Baron,2008,"독일,영국","드라마,전쟁,액션",주연-베르너 보스역,7000.0,1.0,7000.0,1.0
8,귀없는 토끼,Rabbit Without Ears,2007,독일,"멜로/로맨스,코미디","감독,주연-루도역",60267898.0,7610.0,61006000.0,7775.0
9,바디 아머,Body Armour,2007,"미국,호주,독일,스페인,영국",액션,주연,,,,
10,올레디 데드,Already Dead,2007,미국,"액션,범죄,스릴러",주연,,,,
11,원 웨이,One Way,2007,독일,"범죄,스릴러",주연-에디 슈나이더 역역,,,,
12,요절복통 프레드의 사랑찾기,Where Is Fred?,2006,독일,"코미디,멜로/로맨스",주연-프레드 크뤼퍼스역,9507500.0,1375.0,9507500.0,1375.0
13,맨발,Barefoot,2005,독일,"코미디,멜로/로맨스","감독,주연",,,,
14,인 에너미 핸즈,In Enemy Hands,2004,미국,"전쟁,드라마,스릴러",주연,,,,
15,불 났을 땐 어쩌지?,"Was Tun, Wenn's Brennt?",2001,독일,"액션,코미디,드라마",주연,,,,
16,노킹 온 헤븐스 도어,Knockin' On Heaven's Door,1997,"독일,네덜란드","드라마,범죄,액션,코미디",주연,0.0,18090.0,68605000.0,9081.0
17,스탠바이유어맨,Jailbirds,1995,독일,"코미디,드라마,범죄",주연,0.0,14415.0,,
