,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,작적: 사라진 왕조의 비밀,L.O.R.D,2016,중국,"액션,어드벤처,판타지",주연,6000.0,1.0,6000.0,1.0
1,스킵트레이스: 합동수사,Skiptrace,2016,"홍콩,미국,중국","액션,코미디",주연,163700300.0,22350.0,163801300.0,22366.0
2,봉신연의: 영웅의 귀환,League of Gods,2015,홍콩,"판타지,액션",주연,48190000.0,6343.0,48422500.0,6380.0
3,만물생장-끝없는 관계,EVER SINCE WE LOVED,2015,중국,멜로/로맨스,주연,895000.0,179.0,895000.0,179.0
4,양귀비 : 왕조의 여인,Lady of the Dynasty,2015,중국,"멜로/로맨스,드라마",주연,960000.0,186.0,3013000.0,786.0
5,백발마녀전: 명월천국,The White Haired Witch Of Lunar Kingdom,2014,중국,"판타지,멜로/로맨스",주연,15699000.0,3151.0,15917000.0,3187.0
6,2차 노출,Double Xposure,2013,중국,"드라마,멜로/로맨스,미스터리",주연,89000.0,14.0,89000.0,14.0
7,마이 웨이,My Way,2011,한국,"전쟁,액션,드라마",주연,15994803000.0,2142622.0,15995187000.0,2142670.0
8,샤오린 : 최후의 결전,Shaolin,2011,"홍콩,중국","드라마,액션",주연,329194000.0,45275.0,329194000.0,45275.0
9,천하영웅,SACRIFICE,2010,중국,"액션,사극",주연,2541000.0,249.0,2541000.0,249.0
10,관음산,Buddha Mountain,2010,중국,"드라마,멜로/로맨스",주연,,,1530000.0,183.0
11,동풍우,East Wind Rain,2010,중국,"전쟁,드라마",주연,,,0.0,0.0
12,미래경찰 X,Future X-Cops,2010,"중국,대만","SF,액션",주연,,,,
13,8인: 최후의 결사단,Bodyguards And Assassins,2009,중국,"액션,사극",주연,878708580.0,116788.0,864912500.0,114929.0
14,소피의 연애 매뉴얼,Sophie'S Revenge,2009,"중국,한국","멜로/로맨스,코미디",주연-안나역,896131351.0,121018.0,883317500.0,119338.0
15,신주쿠 사건,The Shinjuku Incident,2008,홍콩,"액션,드라마,범죄",주연,289750076.0,43881.0,287329000.0,43516.0
16,도화운,Desires of the Heart,2008,중국,"코미디,멜로/로맨스",주연,,,,
17,쿵푸힙합,Kung Fu Pop,2008,중국,"액션,코미디",주연-DJ 티나 역역,,,,
18,로스트 인 베이징,Lost in Beijing,2007,중국,드라마,주연,13215000.0,2167.0,13700000.0,2242.0
19,사랑에서 영혼으로,The Matrimony,2007,"홍콩,중국","스릴러,드라마,공포(호러),멜로/로맨스",주연-만리역,67001.0,9.0,66000.0,9.0
20,도화선 무삭제 확장판,Flash Point,2007,홍콩,"액션,범죄",주연,,,1025000.0,302.0
21,콜 포 러브,Call for Love,2007,중국,"코미디,멜로/로맨스",주연,,,,
22,합약정인,Contract Lover,2007,"홍콩,중국","멜로/로맨스,코미디",주연,,,,
23,삼장법사의 모험,A Chinese Tall Story,2005,"홍콩,중국","액션,코미디",주연,,,,
