,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,몬스터 콜,A Monster Calls,2016,스페인,"판타지,드라마",주연-엄마역,699851900.0,89560.0,699851900.0,89560.0
1,아우토반,Autobahn,2016,"영국,독일","액션,스릴러",주연,183681500.0,23338.0,196841500.0,24983.0
2,로그 원: 스타워즈 스토리,ROGUE ONE: A STAR WARS STORY,2016,미국,"액션,어드벤처,판타지,SF",주연,9047995594.0,1019309.0,9047995594.0,1019309.0
3,인페르노,Inferno,2016,"미국,일본,터키,헝가리","미스터리,스릴러",주연,5656281303.0,689071.0,5656281303.0,689071.0
4,트루 스토리,True Story,2015,미국,"미스터리,스릴러",주연,,,,
5,사랑에 대한 모든 것,The Theory of Everything,2014,미국,멜로/로맨스,주연,2162660589.0,278015.0,2163184089.0,278087.0
6,우리가 사랑한 시간,Breathe In,2013,미국,멜로/로맨스,주연,28507600.0,4126.0,28507600.0,4126.0
7,인비저블 우먼,The Invisible Woman,2013,영국,"드라마,멜로/로맨스",주연-넬리 터넌 역역,,,,
8,라이크 크레이지,Like Crazy,2011,미국,"드라마,멜로/로맨스",주연-애나 역역,81549980.0,10850.0,81549980.0,10850.0
9,히스테리아,Hysteria,2011,"영국,프랑스,독일,룩셈부르크","코미디,멜로/로맨스",주연,37059500.0,4947.0,37059500.0,4947.0
10,샬레이 걸,Chalet Girl,2011,영국,"코미디,멜로/로맨스",주연,,,,
11,세머테리 정션,Cemetery Junction,2010,영국,코미디,주연,,,,
12,노생거 사원,Northanger Abbey,2007,영국,"드라마,멜로/로맨스",주연-캐서린 몰랜드역,,,,
