,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,그레이스 오브 모나코,Grace of Monaco,2014,"프랑스,미국,벨기에,이탈리아",드라마,주연,1752838200.0,237147.0,1753300200.0,237219.0
1,로봇 앤 프랭크,Robot and Frank,2012,미국,"코미디,드라마,SF",주연,69243000.0,10379.0,69243000.0,10379.0
2,더 박스,The Box,2009,미국,스릴러,조연,23544000.0,3276.0,23544000.0,3276.0
3,프로스트 VS 닉슨,Frost/Nixon,2008,미국,드라마,주연-리차드 닉슨 역,150586369.0,22464.0,148227500.0,22114.0
4,퍼펙트 워리어,Jason And The Argonauts,2000,미국,"어드벤처,판타지",주연,,,,
5,나인스 게이트,Ninth Gate,1999,미국,"공포(호러),미스터리,스릴러",주연-보리스 볼칸역,0.0,4667.0,,
6,에디,Eddie,1996,영국,"코미디,드라마",주연,0.0,80415.0,,
7,모세,Moses,1996,미국,"사극,드라마,어드벤처",주연,,,,
8,컷스로트 아일랜드,The Legend Of Cutthroat Island,1995,"미국,프랑스,이탈리아,독일",액션,주연,0.0,258920.0,39000.0,13.0
9,브레인 스캔,Brain'S Scan,1994,미국,"SF,공포(호러),스릴러",주연,0.0,35559.0,,
10,파리는 안개에 젖어,House Under The Tree,1971,"프랑스,이탈리아",드라마,주연,0.0,199264.0,379000.0,91.0
