,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,헝거게임: 더 파이널,The Hunger Games: Mockingjay - Part 2,2015,미국,"액션,어드벤처",주연,6070679163.0,806709.0,6070679163.0,806709.0
1,갓즈 포켓,God's Pocket,2014,미국,드라마,주연,14621500.0,2037.0,14629500.0,2038.0
2,헝거게임: 모킹제이,The Hunger Games: Mockingjay - Part 1,2014,미국,"어드벤처,SF,스릴러",주연,6400058044.0,854377.0,6400058044.0,854377.0
3,모스트 원티드 맨,A Most Wanted Man,2014,"영국,미국,독일","스릴러,드라마",주연,127325100.0,15654.0,129906100.0,16102.0
4,마지막 4중주,A Late Quartet,2012,미국,드라마,주연-로버트역,812813000.0,108317.0,817470600.0,108981.0
5,마스터,The Master,2012,미국,드라마,주연-랭케스터역,263518800.0,34510.0,270330800.0,35389.0
6,킹메이커,The Ides of March,2011,미국,드라마,주연,342178000.0,44903.0,342666000.0,44965.0
7,메리와 맥스,Mary And Max,2009,호주,"애니메이션,코미디,드라마",주연(목소리),34316500.0,4873.0,34316500.0,4873.0
8,락앤롤 보트,The Boat That Rocked,2009,"영국,독일,프랑스","코미디,드라마",주연,,,1790000.0,245.0
9,"시네도키, 뉴욕","Synecdoche, New York",2008,미국,"드라마,코미디",주연,36604709.0,5001.0,37221000.0,5078.0
10,다우트,Doubt,2008,미국,"드라마,미스터리",주연,93789787.0,13377.0,92867500.0,13269.0
11,악마가 너의 죽음을 알기전에,Before The Devil Knows You'Re Dead,2007,미국,"드라마,범죄,스릴러",주연-앤디역,41513238.0,5606.0,45057500.0,6133.0
12,찰리윌슨의 전쟁,Charlie Wilson'S War,2007,미국,"코미디,드라마",주연,1138316611.0,173263.0,1128961000.0,169669.0
13,세비지스,The Savages,2007,미국,"코미디,드라마",주연,,,,
14,미션 임파서블 3,Mission: Impossible 3,2006,미국,액션,조연-오웬 데이비언역,0.0,5740789.0,32155201400.0,5127047.0
15,카포티,Capote,2005,미국,드라마,주연-트루만 카포티역,0.0,6927.0,44928500.0,6920.0
16,폴리와 함께,Along Came Polly,2004,미국,멜로/로맨스,조연,0.0,170000.0,252615500.0,37807.0
17,오닝 마호니,Owning Mahowny,2003,"캐나다,영국","범죄,스릴러,드라마",주연,,,,
18,25시,25th Hour,2002,미국,"범죄,드라마",주연,0.0,591.0,,
19,러브 리자,Love Liza,2002,"미국,프랑스,독일",드라마,주연,,,,
20,스테이트 앤 메인,State and Main,2000,"프랑스,미국","코미디,드라마",조연,,,,
21,넥스트 스톱 원더랜드,Next Stop Wonderland,1998,미국,"코미디,드라마,멜로/로맨스",주연,,,,
22,부기나이트,Boogie Nights,1997,미국,드라마,주연-스코티 J역,0.0,59749.0,5016000.0,784.0
