,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,좀비스쿨,Zombie School,2013,한국,"공포(호러),액션",주연,62432000,7721,62432000,7721
1,군사통제구역 팔이공지대,DISTRICT820,2013,한국,"미스터리,스릴러",주연,5950000,813,5950000,813
2,닥터,Doctor,2012,한국,스릴러,주연,495574500,68312,495574500,68312
3,노크,,2012,한국,"공포(호러),멜로/로맨스",주연,1492000,203,1492000,203
4,불량남녀,Romantic Debtors,2010,한국,코미디,주연,3619026909,491207,3562190000,483387
5,참을 수 없는,Loveholic,2010,한국,"멜로/로맨스,드라마",주연,575770952,76965,566731000,75740
6,카페 느와르,Cafe Noir,2009,한국,"드라마,멜로/로맨스",주연,54925506,7070,58367900,7516
7,챔피언 마빡이,Mappagi Is Champion,2007,한국,"코미디,액션,가족",주연,0,6854,39700500,6825
8,좋지 아니한가,Skeletons In The Closet,2007,한국,"드라마,코미디",주연,0,321654,1849140000,306470
9,마강호텔,Hotel M : Gangster’s Last Draw,2006,한국,"코미디,드라마",주연,0,237183,1247345300,215817
