,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,맨헌트,Manhunt,2017,중국,"액션,범죄",주연,28457500.0,3738,28457500.0,3738.0
1,목숨 건 연애,Life Risking Romance,2016,한국,"멜로/로맨스,코미디",주연,363098800.0,48010,363098800.0,48010.0
2,허삼관,Chronicle of a Blood Merchant,2014,한국,드라마,주연,7405415569.0,955175,7410215569.0,956103.0
3,조선미녀삼총사,The Huntresses,2013,한국,"코미디,액션,사극",주연-진옥역,3471341321.0,480361,3471341321.0,480361.0
4,코리아,As One,2011,한국,드라마,주연-현정화역,13448848500.0,1872681,13448857500.0,1872682.0
5,7광구,Sector 7,2011,한국,"SF,액션,스릴러",주연,19391653500.0,2242510,19391653500.0,2242510.0
6,내 사랑 내 곁에,Closer To Heaven,2009,한국,"드라마,멜로/로맨스",주연-이지수역,15764312409.0,2160265,15584755500.0,2135509.0
7,해운대,Haeundae,2009,한국,"액션,드라마,어드벤처",주연-강연희역,81934638201.0,11453338,81025841000.0,11324561.0
8,바보,Ba:Bo,2008,한국,드라마,주연,6301818833.0,974554,6306816500.0,967654.0
9,1번가의 기적,Miracle on 1st Street,2007,한국,"드라마,코미디",주연,0.0,2750457,15494122100.0,2535450.0
10,형사; Duelist,The Duelist,2005,한국,"멜로/로맨스,액션",주연,0.0,1203146,5850959100.0,922680.0
11,키다리 아저씨,Daddy-Long-Legs,2004,한국,드라마,주연-차영미역,0.0,528817,2789824500.0,440850.0
12,신부수업,"Love, So Divine",2004,한국,"드라마,멜로/로맨스",주연,0.0,1242476,4255753000.0,675521.0
13,내사랑 싸가지,100 Days With Mr. Arrogant,2004,한국,코미디,주연,0.0,1513000,1836153500.0,296125.0
14,역전에 산다,Reversal Of Fortune,2003,한국,코미디,주연,,552041,643500.0,85.0
15,색즉시공,Sex Is Zero,2002,한국,코미디,주연,0.0,4082797,,
16,폰,The Phone,2002,한국,공포(호러),주연,,755437,,
17,가위,A nightmare,2000,한국,"공포(호러),미스터리",주연,0.0,334364,,
18,진실게임,Truth Game,2000,한국,"스릴러,미스터리",주연-다혜역,0.0,6993,,
