,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,섹스 에드,Sex Ed,2014,미국,"코미디,멜로/로맨스",주연,5000.0,1.0,5000.0,1.0
1,과거를 찾아서,I'll Follow You Down,2013,캐나다,"미스터리,SF",주연-에롤 역역,,,66000.0,22.0
2,세컨핸드 라이온스,Secondhand Lions,2003,미국,드라마,주연,0.0,22413.0,122055000.0,21523.0
3,정글북 2,The Jungle Book 2,2003,미국,"애니메이션,드라마,어드벤처",주연,0.0,25429.0,,
4,컨트리 베어스,The Country Bears,2002,미국,"코미디,가족",주연,,,,
5,A.I.,A.I.,2001,미국,"SF,드라마",주연,0.0,525490.0,386000.0,81.0
6,엣지 오브 더 로드,Edges Of The Lord,2001,미국,드라마,주연,,,,
7,아름다운 세상을 위하여,Pay It Forward,2000,미국,드라마,주연,0.0,77872.0,,
8,식스 센스,The Sixth Sense,1999,미국,"공포(호러),스릴러,미스터리,드라마",조연,0.0,797761.0,,
9,아이 리멤버 에이프릴,I'll Remember April,1999,미국,"드라마,가족,전쟁",주연,,,,
