,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,라스트 맨: 지구를 마지막으로 본 남자,The Last Man,2018,아르헨티나,"드라마,스릴러",주연,43000.0,19.0,43000.0,19.0
1,퍼스트 킬,First Kill,2017,미국,"액션,스릴러",주연,,,,
2,아메리칸 하이스트,American Heist,2014,미국,"범죄,액션",주연,35000.0,7.0,35000.0,7.0
3,아웃캐스트: 절명도망 무삭제판,Outcast,2014,"미국,캐나다,중국","액션,전쟁,어드벤처",주연,10000.0,2.0,10000.0,2.0
4,베니싱,Vanishing on 7th Street,2010,미국,미스터리,주연-루크역,542044000.0,73582.0,542044000.0,73582.0
5,뉴욕 아이 러브 유,"New York, I Love You",2008,미국,"코미디,드라마,멜로/로맨스",주연-벤역,647982325.0,83600.0,638301000.0,82356.0
6,점퍼,Jumper,2008,미국,"SF,드라마,어드벤처",주연-데이빗 라이스 역,10999769000.0,1685405.0,10943088000.0,1665268.0
7,어웨이크,Awake,2007,미국,"스릴러,드라마",주연-클레이 베레스포드역,3266005333.0,502807.0,3265249000.0,498720.0
8,스타워즈 에피소드3 - 시스의복수,Star Wars: Episode Iii - Revenge Of The Sith,2005,미국,SF,주연,0.0,1722800.0,9325899000.0,1464794.0
9,셰터드 글래스,Shattered Glass,2003,"미국,캐나다",드라마,주연,,,,
10,라이프 에즈 어 하우스,Life As A House,2001,미국,드라마,주연,,,,
