,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,윈체스터,Winchester,2018,"호주,미국","판타지,공포(호러),미스터리,스릴러",주연,,,,
1,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,2018,미국,"어드벤처,가족,판타지",주연,,,,
2,분노의 질주: 더 익스트림,Fast and Furious 8,2017,"미국,일본,프랑스,캐나다","액션,범죄,스릴러",조연,29981156348.0,3653238.0,29981156348.0,3653238.0
3,나는 사랑과 시간과 죽음을 만났다,Collateral Beauty,2016,미국,드라마,주연,380000.0,76.0,380000.0,76.0
4,아이 인 더 스카이,EYE IN THE SKY,2015,영국,"전쟁,스릴러",주연,118481200.0,15571.0,118961200.0,15631.0
5,트럼보,Trumbo,2015,미국,드라마,주연,486936100.0,61955.0,487002100.0,61964.0
6,우먼 인 골드,Woman in Gold,2015,"미국,영국",드라마,주연,1109776800.0,144154.0,1111546800.0,144744.0
7,로맨틱 레시피,The Hundred-Foot Journey,2014,미국,"드라마,멜로/로맨스",주연-말로리 부인역,,,,
8,레드: 더 레전드,RED2,2012,미국,"액션,코미디,범죄",주연-빅토리아역,21511358970.0,3004647.0,21511371970.0,3004649.0
9,히치콕,Hitchcock,2012,미국,스릴러,주연-알마 레빌 역역,,,,
10,아서,Arthur,2011,미국,코미디,주연-홉슨역,,,,
11,언피니시드,The Debt,2010,미국,"드라마,스릴러",주연,455595500.0,62383.0,455595500.0,62383.0
12,레드,Red,2010,"미국,캐나다",액션,주연-빅토리아 역,3607106025.0,489855.0,3550436000.0,482053.0
13,톨스토이의 마지막 인생,The Last Station,2009,"영국,미국,러시아,독일","드라마,멜로/로맨스",주연-소피아 톨스토이역,448097918.0,61480.0,450607000.0,61902.0
14,더 퀸,The Queen,2006,영국,"다큐멘터리,드라마",주연,0.0,80769.0,498432900.0,76769.0
15,클리어링,The Clearing,2004,"독일,미국",드라마,주연,0.0,686.0,5236000.0,752.0
16,캘린더 걸스,Calendar Girls,2003,영국,코미디,주연,,,,
17,디 아더 사이드,On The Edge,2001,미국,"코미디,SF",감독,,,,
18,세상에 없는 것,No Such Thing,2001,"미국,아이슬란드","코미디,드라마,판타지",주연,,,,
19,그린핑거스,Greenfingers,2000,"영국,미국","코미디,범죄,멜로/로맨스",주연,,,,
20,팅글 부인 가르치기,Teaching Mrs. Tingle,1999,미국,코미디,주연,,,,
21,어느어머니의아들,Some Mother'S Son,1996,"미국,아일랜드",드라마,주연,0.0,4585.0,,
22,죠지왕의 광기,The Madness Of King George,1995,영국,"드라마,사극",주연,0.0,14000.0,,
23,모스키토 코스트,The Mosquito Coast,1986,미국,드라마,주연-엄마역,0.0,27636.0,356000.0,74.0
24,엑스칼리버,Excalibur,1981,미국,"사극,액션",주연,0.0,209551.0,1596000.0,276.0
25,롱 굿 프라이데이,The Long Good Friday,1980,영국,"범죄,미스터리",주연-빅토리아 역역,,,,
