,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,막달라 마리아: 부활의 증인,Mary Magdalene,2018,영국,드라마,주연,214751200.0,30827.0,214792200.0,30833.0
1,유 워 네버 리얼리 히어(가제),You Were Never Really Here,2017,"미국,프랑스","드라마,미스터리,스릴러",주연,,,,
2,이레셔널 맨,Irrational Man,2015,미국,"범죄,드라마,미스터리",주연,155721500.0,19287.0,155721500.0,19287.0
3,이민자,The Immigrant,2013,미국,"드라마,미스터리,멜로/로맨스",주연,130809123.0,16667.0,133461123.0,16994.0
4,그녀,Her,2013,미국,"드라마,멜로/로맨스",주연,2861230000.0,351091.0,2895053541.0,355885.0
5,마스터,The Master,2012,미국,드라마,주연-프레디 퀠역,263518800.0,34510.0,270330800.0,35389.0
6,투 러버스,Two Lovers,2008,미국,멜로/로맨스,주연,1494000.0,298.0,5911100.0,1001.0
7,레저베이션 로드,Reservation Road,2007,미국,"드라마,스릴러",주연,4951479.0,711.0,4863500.0,698.0
8,위 오운 더 나잇,We Own The Night,2007,미국,"범죄,드라마,스릴러",주연-바비 그린역,471961500.0,71212.0,472296500.0,70769.0
9,앙코르,Walk The Line,2005,미국,드라마,주연-조니 캐쉬역,0.0,212902.0,1191720100.0,186143.0
10,지구생명체,Earthlings,2005,미국,다큐멘터리,주연,,,,
11,호텔 르완다,Hotel Rwanda,2004,"영국,이탈리아,남아프리카공화국","드라마,전쟁",주연-잭역,0.0,12353.0,69353900.0,10826.0
12,래더 49,Ladder 49,2004,미국,드라마,주연,0.0,42419.0,241234500.0,38432.0
13,빌리지,The Village,2004,미국,공포(호러),주연,0.0,542950.0,2507016000.0,378950.0
14,올 어바웃 러브,It’S All About Love,2003,덴마크,"드라마,멜로/로맨스,스릴러",주연,0.0,410.0,2314000.0,355.0
15,브라더 베어,Brother Bear,2003,미국,드라마,주연,0.0,352691.0,113131000.0,17184.0
16,싸인,Signs,2002,미국,"미스터리,스릴러",주연,0.0,293856.0,,
17,버팔로 솔저,Buffalo Soldiers,2001,"미국,영국,독일","코미디,드라마,범죄,전쟁",주연,,,,
18,퀼스,Quills,2000,"미국,독일,영국","드라마,멜로/로맨스",주연,0.0,34147.0,273000.0,100.0
19,더 야드,The Yards,2000,미국,"범죄,스릴러",주연,0.0,455.0,214000.0,42.0
20,글래디에이터,Gladiator,2000,미국,"액션,사극",주연,0.0,1242055.0,,
21,8미리,8MM,1999,미국,"스릴러,드라마,미스터리",주연,0.0,129475.0,,
22,리턴 투 파라다이스,Return To Paradise,1998,미국,"드라마,멜로/로맨스,스릴러",주연,0.0,14762.0,,
23,악의 꽃,Inventing The Abbotts,1997,미국,드라마,주연,0.0,2791.0,,
24,투 다이 포,To Die For,1995,"영국,미국","드라마,코미디,스릴러",주연,0.0,100411.0,,
