,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,거짓말 2014,,2014,한국,멜로/로맨스,주연,4751000.0,1058.0,4751000.0,1058.0
1,거짓말2014 무삭제감독판,,2014,한국,멜로/로맨스,주연,,,,
2,숨,Elbowroom,2010,한국,드라마,주연,5067000.0,791.0,5123000.0,805.0
3,안녕? 허대짜수짜님!,"A Worker, Daesoo Heo Who Doesn'T Want To Be Grandpa",2008,한국,"가족,드라마",주연,2782000.0,519.0,2782000.0,519.0
4,마지막 밥상,The Last Dining Table,2006,한국,드라마,주연,2410000.0,372.0,2410000.0,372.0
5,동방불패,Dong-bang Will Never Die,2006,한국,드라마,주연,,,,
6,바람은 소망하는 곳으로 분다,The Wind Blows to the Hope,2006,한국,"드라마,가족",주연-아버지역,,,,
7,광기의 역사,A History of Insanity in the Age of Reason,2005,한국,드라마,주연,,,,
8,"감상과 이해, 청산별곡",Poetry Class,2004,한국,"스릴러,액션",주연,,,,
9,블라인드 인터뷰,Blind Interview,2004,한국,드라마,주연-아버지역,,,,
