,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,태평륜 완결편,The Crossing Final,2017.0,중국,"드라마,멜로/로맨스,전쟁,액션",주연,,,,
1,현장법사: 서유기의 시작,Xuan Zang,2016.0,중국,"어드벤처,드라마",주연,64000.0,27.0,64000.0,27.0
2,태평륜 피안,The Crossing 2,2015.0,중국,"드라마,액션,전쟁",주연,265000.0,53.0,751000.0,123.0
3,태평륜,The Crossing,2014.0,중국,"드라마,액션,전쟁",주연,730000.0,146.0,790000.0,166.0
4,백발마녀전: 명월천국,The White Haired Witch Of Lunar Kingdom,2014.0,중국,"판타지,멜로/로맨스",주연,15699000.0,3151.0,15917000.0,3187.0
5,아메리칸 드림 인 차이나,American Dreams in China,2013.0,중국,드라마,주연,,,,
6,혈적자: 황제암살단,The Guillotines,2012.0,중국,"액션,드라마",주연,10555000.0,5022.0,10555000.0,5022.0
7,필부,An Inaccurate Memoir,2012.0,중국,액션,주연,750000.0,150.0,750000.0,150.0
8,천하영웅,SACRIFICE,2010.0,중국,"액션,사극",주연,2541000.0,249.0,2541000.0,249.0
9,엽문2,Ip Man 2,2010.0,홍콩,"액션,드라마",주연,451282315.0,59881.0,444197000.0,58928.0
10,당백호점추향 2 - 사대제자,Flirting Scholar 2,2010.0,중국,코미디,주연,,,,
11,신조협려 2006,Condor Hero,2006.0,중국,"드라마,액션",주연,,,,
12,대상해,THE LAST TYCOON,,"중국,멕시코",액션,주연,9000000.0,1500.0,9000000.0,1500.0
