,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,22년 후의 고백,Memoirs of a Murderer,2017,일본,스릴러,주연,12993500.0,1732.0,12993500.0,1732.0
1,나만이 없는 거리,The Town Where Only I Am Missing,2016,일본,"드라마,미스터리,SF,스릴러",주연,33113000.0,4392.0,33113000.0,4392.0
2,몬스터즈,MONSTERZ,2014,일본,드라마,주연,500000.0,100.0,500000.0,100.0
3,3인의 사기단: 진범을 찾아라,One Third,2014,일본,"범죄,코미디,드라마",주연,270000.0,54.0,270000.0,54.0
4,짚의 방패,Shield of Straw,2013,일본,"액션,스릴러",주연-키요마루 쿠니히데역,38366000.0,5870.0,38522000.0,5894.0
5,인사이트 밀: 7일간의 데스 게임,The Incite Mill,2010,일본,미스터리,주연,,,,
6,카이지,Kaiji: Gambling Apocalypse Kaiji,2009,일본,드라마,주연,6142439.0,843.0,6046000.0,830.0
7,스네이크 앤 이어링,SNAKES AND EARRINGS,2008,일본,드라마,조연,,,30000.0,10.0
8,카멜레온,Chameleon,2008,일본,액션,주연-노구치 고로역,,,,
9,문라이트 젤리피쉬,Moonlight Jellyfish,2004,일본,"멜로/로맨스,드라마",주연,,,,
10,사부,Sabu,2002,일본,"액션,드라마",주연,,,,
11,배틀로얄,Battle Royale,2000,일본,"드라마,스릴러,액션",주연,0.0,69098.0,2400000.0,317.0
12,가면학원,Persona,2000,일본,"드라마,미스터리,판타지",주연-도지마 아키라역,0.0,0.0,,
