,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,서바이벌 패밀리,Survival Family,2017,일본,코미디,주연,1141000.0,236.0,1419000.0,280.0
1,아주 긴 변명,The Long Excuse,2016,일본,드라마,주연,67454200.0,8974.0,67454200.0,8974.0
2,기생수 파트2,Parasyte: Part 2,2015,일본,"SF,스릴러",주연,514236959.0,63529.0,514500959.0,63560.0
3,해안가로의 여행,Journey to the Shore,2015,"일본,프랑스",드라마,주연,,,2924000.0,422.0
4,기생수 파트1,Parasyte: Part 1,2014,일본,"스릴러,SF",주연,1534923185.0,186184.0,1543452126.0,187310.0
5,멋진 악몽,A GHOST OF A CHANGE,2011,일본,"코미디,드라마",주연,59007000.0,7936.0,59007000.0,7936.0
6,악인,Villain,2010,일본,드라마,주연,27535500.0,3703.0,27695000.0,3725.0
7,하와이언 레시피,Honokaa Boy,2009,일본,드라마,주연,51469000.0,6713.0,53421080.0,6982.0
8,여자 이야기,Your Story,2009,일본,드라마,주연,,,,
9,박사가 사랑한 수식,Professor Formular,2005,일본,드라마,주연-쿄코역,0.0,4041.0,21365500.0,3160.0
10,춤추는 대수사선 2,Bayside Shakedown The Movie 2,2003,일본,"액션,범죄,코미디",주연,0.0,151823.0,129612500.0,19882.0
11,아수라,Like Asura,2003,일본,"코미디,드라마",주연,,,,
12,스페이스 트래블러,Space Travelers,2000,일본,"코미디,범죄",주연,,,,
13,생일선물,Birthday Present,1995,일본,"드라마,코미디",주연,0.0,12667.0,,
