,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,모털 엔진,Mortal Engines,2018,미국,"액션,어드벤처,SF",주연,,,,
1,핵소 고지,Hacksaw Ridge,2016,"미국,호주","드라마,전쟁",주연,1342081900.0,177601.0,1342169900.0,177616.0
2,드레스메이커,The Dressmaker,2015,호주,드라마,주연,447111000.0,56275.0,447353000.0,56316.0
3,스트레인저랜드,Strangerland,2015,"호주,아일랜드","미스터리,스릴러",주연,39747200.0,5205.0,39778200.0,5209.0
4,호빗: 다섯 군대 전투,The Hobbit: The Battle of the Five Armies,2014,"미국,뉴질랜드","어드벤처,판타지",주연,24268487685.0,2836774.0,24268487685.0,2836774.0
5,호빗: 스마우그의 폐허,The Hobbit: The Desolation of Smaug,2013,"미국,뉴질랜드","어드벤처,드라마,판타지",주연,17850613316.0,2282744.0,17850613316.0,2282744.0
6,클라우드 아틀라스,Cloud Atlas,2012,"미국,독일","SF,판타지",주연,3412002227.0,452755.0,3414930727.0,453116.0
7,호빗: 뜻밖의 여정,The Hobbit: An Unexpected Journey,2012,"미국,뉴질랜드","어드벤처,판타지",주연,23436820716.0,2818993.0,23436820716.0,2818993.0
8,퍼스트 어벤져,Captain America: The First Avenger,2011,미국,"액션,SF","주연-요한 슈미트, 레드 스컬 역",4163130500.0,514417.0,4161976500.0,514309.0
9,가디언의 전설,Legend Of The Guardians: The Owls Of Ga'Hoole,2010,"미국,호주","애니메이션,어드벤처,판타지",주연-녹터스 / 그림블 역(목소리),2655721096.0,307217.0,2613934200.0,302318.0
10,울프맨,The Wolfman,2010,미국,"공포(호러),스릴러",주연,2099396881.0,270683.0,2062933500.0,265409.0
11,텐더 후크,The Tender Hook,2008,호주,"범죄,미스터리",주연,,,,
12,키 맨,The Key Man,2007,미국,"범죄,스릴러",주연,,,,
13,브이 포 벤데타,V For Vendetta,2005,미국,액션,주연-V역,0.0,450200.0,2809650200.0,436255.0
14,리틀 피쉬,Little Fish,2005,호주,"범죄,멜로/로맨스",주연,,,,
15,복숭아,Peaches,2004,호주,드라마,주연,,,,
16,반지의 제왕 : 왕의 귀환 (확장판),The Lord of the Rings: The Return of the King,2003,"뉴질랜드,미국","판타지,어드벤처,액션",주연-엘론드 역역,370268000.0,30349.0,370268000.0,30349.0
17,반지의 제왕 : 두개의 탑 (확장판),The Lord Of The Rings : The Two Towers,2002,"뉴질랜드,미국","판타지,어드벤처,액션",주연-엘론드 역역,350183800.0,27440.0,350183800.0,27440.0
18,반지의 제왕 : 반지원정대 (확장판),The Lord Of The Rings : The Fellowship Of The Rings,2001,"뉴질랜드,미국","판타지,어드벤처,액션",주연-엘론드 역역,470027900.0,35758.0,470027900.0,35758.0
19,아마존 대탐험,The Old Man Who Read Love Stories,2001,"네덜란드,프랑스,스페인,호주","어드벤처,드라마",주연,,,,
20,마술 푸딩,The Magic Pudding,2000,호주,애니메이션,주연(목소리),,,,
21,꼬마 돼지 베이브,Babe,1995,"호주,미국","가족,드라마,코미디",주연,0.0,59360.0,,
22,프리실라,"The Adventures Of Priscilla, Queen Of The Desert",1994,호주,"코미디,드라마",주연,0.0,6683.0,,
23,위험한 선택,Proof,1991,호주,코미디,주연,0.0,1285.0,,
